name,quantity,price(Dollar),description,distributor,link,
SpeedyBee Bee35 3.5 inch Frame,1,44,for hold and place all the items,electropi,https://www.electropi.in/speedybee-bee35-35-inch-frame,
SpeedyBee F405 Mini BLS 35A 2020 Stack,1,69,this is the main brain of this drone,electropi,https://www.electropi.in/speedybee-f405-mini-bls-35a-2020-stack?search=speedybee%20f405,
Emax ECOII-2004-1600KV Brushless Motor,4,72,main wheel of this drone,ROBU.IN,https://robu.in/product/emax-ecoii-2004-1600kv-brushless-motor/,
SpeedyBee TX800,1,45,for transmiting video signail,ROBU.IN,https://robu.in/product/speedybee-tx800/,
Foxeer Lollipop 4 Plus SMA FPV Antenna,1,32,for extending the signail,ROBU.IN,https://robu.in/product/foxeer-lollipop-4-plus-sma-fpv-antenna/,
RunCam Phoenix 2 camera,1,42,for capture the live footage,ROBU.IN,https://robu.in/product/runcam-phoenix-2-special-edition-v2/,
Radiomaster Pocket Radio Controller –ELRS,1,98,for controlling the drone,ROBU.IN,https://robu.in/product/radiomaster-pocket-radio-controller-elrs-charcoal/,
Orange HD D90 Ducted PC 3-Blade M5,6,12,for make the drone fly,ROBU.IN,https://robu.in/product/orange-hd-d90-ducted-pc-3-blade-m5-propellers-2cw2ccw-milk-white/,
lipo battery,2,36,for power the drone,INDIAN ROBO STORE,https://indianrobostore.com/product/tattu-850mah-148v-75c-4s1p-lipo-battery-with-xt30-plug-for-fpv-racing-drones,
battery charger,1,49,to charge the battery,ROBU.IN,https://robu.in/product/isdt-608pd-240-w-dc-140-w-usb%e2%80%91c-pd-pocket-charger/,
Radiomaster RP1 V2 ExpressLRS Nano Receiver,1,26,for recive signal,ELECTROPI.IN,https://www.electropi.in/radiomaster-rp1-v2-expresslrs-nano-receiver?gad_source=1&gad_campaignid=23329895947&gbraid=0AAAAA-s6SdUUVBMQRZKiYv0CmvbKu9f-4&gclid=Cj0KCQjw39zSBhDhARIsANammDuTNW6Z5IjpqIph593skLL_oEUGSwTlMNcImmKpS57e2AlMZXrnH6MaApBHEALw_wcB,
lipo battery straps,2,3,to secure the battery with drone,INDIAN ROBO STORE,https://indianrobostore.com/product/geprc-nylon-lipo-battery-strap-belt-wrap-for-fpv-rc-battery-strap?srsltid=AfmBOopDpgQB4VwN3dvGNMJHo3hItn3p5Q55mwA9MNjm8rA7InEUIk6ccm4,
SafeConnect XT30 Male with 14AWG Silicon Wire 10cm,1,1,to connect the battery,ROBU.in,https://robu.in/product/safeconnect-xt-30-male-16awg-20cm-connector-pigtail-cable/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWe4N_pA46_C0itJgFybTMABw&gclid=Cj0KCQjw39zSBhDhARIsANammDsBdEMgmiEdgv2Qj11SsCWAyzAwBMJUM3mYrPhvZ08ShzHKE8PuFNkaAsS5EALw_wcB,

